,fid_1,GSP_name,Area_sqmi,FID,layer,path,region,count1900,avgtcd_1900,avgpl_1900,count1975,avgtcd_1975,avgpl_1975,count1990,avgtcd_1990,avgpl_1990,CD_TCDcgwl1900,avgtcd_cgwl_tcd1900,avgpl_cgwl_tcd1900,CD_PLcgwl1900,avgtcd_cgwl_pl1900,avgpl_cgwl_pl1900,CD_TCDmt1900,avgtcd_mt_tcd1900,avgpl_mt_tcd1900,CD_PLmt1900,avgtcd_mt_pl1900,avgpl_mt_pl1900,CD_TCDcgwl1975,avgtcd_cgwl_tcd1975,avgpl_cgwl_tcd1975,CD_PLcgwl1975,avgtcd_cgwl_pl1975,avgpl_cgwl_pl1975,CD_TCDmt1975,avgtcd_mt_tcd1975,avgpl_mt_tcd1975,CD_PLmt1975,avgtcd_mt_pl1975,avgpl_mt_pl1975,CD_TCDcgwl1990,avgtcd_cgwl_tcd1990,avgpl_cgwl_tcd1990,CD_PLcgwl1990,avgtcd_cgwl_pl1990,avgpl_cgwl_pl1990,CD_TCDmt1990,avgtcd_mt_tcd1990,avgpl_mt_tcd1990,CD_PLmt1990,avgtcd_mt_pl1990,avgpl_mt_pl1990,num_hhsd,avgtcd_hhsd,Area_mi2
1,1,Alpaugh,59204950.34,NA,CV_GSP_formerge,/Volumes/GoogleDrive/My Drive/Graduate School/GSP_Analy/GSP_MT_analysis/QGIS/GSP_Boundaries/cv2/CV_GSP_formerge.shp|layername=CV_GSP_formerge,Central Valley,3,774.3333333,404.9638612,3,774.3333333,404.9638612,3,774.3333333,404.9638612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9056865
2,1,Central Kings,636284997.7,NA,CV_GSP_formerge,/Volumes/GoogleDrive/My Drive/Graduate School/GSP_Analy/GSP_MT_analysis/QGIS/GSP_Boundaries/cv2/CV_GSP_formerge.shp|layername=CV_GSP_formerge,Central Valley,2619,163.0053456,88.94829524,1782,179.9966368,98.28015016,846,199.9253911,113.2143444,309,106.6666667,56.38888571,1806,138.8919822,72.73897736,987,136.7462537,73.83295444,2052,161.5952267,86.78945179,79,109.7088608,56.43459556,1111,152.4664855,78.69081319,643,145.8472222,78.35540241,1498,173.4365549,92.51134389,23,78.34782609,42.23643505,427,160.8097561,86.24988838,221,150.2792793,84.06638494,680,191.090379,105.0885664,35,NA,381.7492607
3,1,Chowchilla,589119473.7,NA,CV_GSP_formerge,/Volumes/GoogleDrive/My Drive/Graduate School/GSP_Analy/GSP_MT_analysis/QGIS/GSP_Boundaries/cv2/CV_GSP_formerge.shp|layername=CV_GSP_formerge,Central Valley,477,323.9849246,170.164254,380,344.847561,181.1831497,261,365.9880478,193.8049705,47,194.4893617,109.0173367,340,294.375,154.1202444,190,306.4052632,171.0389628,331,334.5589124,178.4431448,25,219.48,121.8925094,253,318.4285714,165.3772038,160,317.9875,178.3573895,284,348.5035211,186.2366813,3,177.6666667,91.89498462,164,339.974359,177.4359853,126,329.8174603,185.1774571,230,361.4434783,192.8315296,32,NA,357.9254137
4,1,County of Fresno,89761910.98,NA,CV_GSP_formerge,/Volumes/GoogleDrive/My Drive/Graduate School/GSP_Analy/GSP_MT_analysis/QGIS/GSP_Boundaries/cv2/CV_GSP_formerge.shp|layername=CV_GSP_formerge,Central Valley,36,203.4166667,103.3664888,28,224.4642857,113.6631933,15,230.4666667,116.6102239,7,98.28571429,41.30473318,23,131.6956522,59.31162848,9,115.6666667,58.4306209,21,163.0952381,79.50224184,4,105,41.25,16,139.4375,60.24908601,6,114.3333333,55.90189179,16,165.9375,78.44100177,NA,NA,NA,9,159.6666667,69.49444221,4,116.75,55.9689886,11,167.9090909,76.40454363,NA,NA,54.03302353
5,1,Delano-Earlimart Irrigation District,262178580.7,NA,CV_GSP_formerge,/Volumes/GoogleDrive/My Drive/Graduate School/GSP_Analy/GSP_MT_analysis/QGIS/GSP_Boundaries/cv2/CV_GSP_formerge.shp|layername=CV_GSP_formerge,Central Valley,62,428.1296296,204.6458692,34,444.2258065,203.8325592,30,420.2857143,187.8206387,3,146.3333333,68.86549607,46,342.5263158,162.3779162,27,330.2222222,167.6149764,46,408.4782609,194.3970051,1,194,92.73379767,24,355.6190476,153.7362754,16,329.8125,168.2418639,28,420.9642857,192.3668159,1,194,92.73379767,23,355.6190476,153.0916507,15,324.9333333,160.2246548,26,407.0769231,179.9407016,1,NA,154.3745859
6,1,East Kaweah,486181008.8,NA,CV_GSP_formerge,/Volumes/GoogleDrive/My Drive/Graduate School/GSP_Analy/GSP_MT_analysis/QGIS/GSP_Boundaries/cv2/CV_GSP_formerge.shp|layername=CV_GSP_formerge,Central Valley,614,211.7910959,96.58282445,480,221.1804348,100.5872911,283,248.4481481,115.2096156,17,100.0588235,42.23277858,330,176.3344051,73.95595816,222,166.1061947,76.94105759,501,209.444664,94.87558314,14,103.6428571,43.114297,256,177.704918,73.91152467,166,169.2142857,76.80990778,394,217.8434343,98.22699807,1,102,40,123,195.4396552,81.18664159,72,182.4109589,85.91206381,231,240.8793103,110.7569434,180,NA,289.5348829
7,1,Eastern San Joaquin,3095047160,NA,CV_GSP_formerge,/Volumes/GoogleDrive/My Drive/Graduate School/GSP_Analy/GSP_MT_analysis/QGIS/GSP_Boundaries/cv2/CV_GSP_formerge.shp|layername=CV_GSP_formerge,Central Valley,4182,225.4908781,138.8821668,3208,241.4398615,148.2182841,1830,265.4939294,160.8525342,40,86.075,51.81582631,619,148.1260365,85.87909788,223,131.0089686,78.70335909,1834,195.4814613,118.7213428,2,28,15.84276276,266,167.3878327,94.01418913,48,134.0625,78.91277593,1205,217.2381743,131.4315897,2,28,15.84276276,41,196.4146341,98.27754542,4,128.75,69.15285723,498,247.9538153,146.8158816,30,NA,1927.909769
8,1,Eastern Tule,650987915.1,NA,CV_GSP_formerge,/Volumes/GoogleDrive/My Drive/Graduate School/GSP_Analy/GSP_MT_analysis/QGIS/GSP_Boundaries/cv2/CV_GSP_formerge.shp|layername=CV_GSP_formerge,Central Valley,779,203.9781501,91.1969878,634,208.0260797,94.37236095,476,213.6820569,99.00461503,103,73.90970874,31.46446608,605,168.4735294,70.26871614,429,159.8865741,69.91422381,629,219.8702532,98.11990607,71,73.08028169,32.24130044,474,169.4636161,71.5740982,346,160.6224784,70.83464789,524,222.5066667,101.2964647,57,65.69649123,28.31019404,339,168.5067692,72.30813198,244,157.3673469,69.62376729,395,231.9671717,108.0821557,638,NA,384.3560798
9,1,Farmers Water District,8961099.728,NA,CV_GSP_formerge,/Volumes/GoogleDrive/My Drive/Graduate School/GSP_Analy/GSP_MT_analysis/QGIS/GSP_Boundaries/cv2/CV_GSP_formerge.shp|layername=CV_GSP_formerge,Central Valley,2,452.5,250.1941626,2,452.5,250.1941626,2,452.5,250.1941626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.401991972
10,1,Greater Kaweah,894499875.5,NA,CV_GSP_formerge,/Volumes/GoogleDrive/My Drive/Graduate School/GSP_Analy/GSP_MT_analysis/QGIS/GSP_Boundaries/cv2/CV_GSP_formerge.shp|layername=CV_GSP_formerge,Central Valley,1932,212.7883996,97.69070231,1383,229.5488889,104.083508,805,254.6867779,112.0928929,166,119.6666667,59.94721727,1278,186.6606852,83.06060995,906,177.1878393,84.7208646,1513,218.0679295,100.0232067,47,122.7234043,64.01818155,825,201.2581047,86.71939997,630,183.1818182,86.97515271,1164,229.7172061,104.1328087,17,127.4117647,73.78275282,407,226.1,89.21334128,294,204.7138047,95.20879056,699,255.6761364,113.0708369,223,NA,532.6402973
