GSP_name,SCORE_minusengagement_summed,SCORE_minusengagement_summed_minusproj,PROJECTS_SCORE,Projects_DW,SCORE_minusengagement_Averagesubscore,SCORE_factor,QualityMT,perc_1975,percfail,MCLs_used,Number_MTsset_ofseven,percwsf,Outreachandinvolvement,Ceplan,Incorporating_comments,Translation,count1975,count_domwells,count_pswells,count_hhsd_all,avgpl_1975,Avg_TCD_dom,AllWells,Avg_TCD_ps,count_pws,WaterSys,Count_DACwithND_2016,Count_DACwithND_2018,Number_GSA_authors_unique,Number_GSPs_inbasin,Number_agencies_ingovagreements_total,IsthereacollabGSAauthor,per_collab,board_perc_DAC,DAC_per_DACseat,board_perc_DW,PWS_per_DWseat,board_per_women,board_perPOC,Committee_perc,Committee_any,Committee_DAC_any,Committee_DW_perc,County_ag_profits_2019,Perc_irrigated_Darcy,GSP_area_acres_me,Summed_EJ_Engagement,CWC,SHE,LCJA,Facilitation_orcoordinationsupport_recieved,Facilitation_received_dierct,Count_letters,Quality_outcomecombined,Prop1Cat1_project,Prop1Cat1_TA,Prop1,Combined_risk_percentil,COB
Santa Cruz Mid-County,56.66666667,58.33333333,100,2,68.57142857,NA,3,NA,NA,2,3,NA,2,2,2,0,NA,585,86,0,NA,357.594306,NA,374.5,17,NA,0,0,1,1,4,2,100,NA,NA,81.81818181818183,52.94117647058824,9.090909090909092,0,100,2,NA,100,620820000,1.227572138,35871.2632,0,0,0,0,0,0,1,6,0,0,0,65.45,2
180/400 ft Aquifer,47.05882353,57.69230769,0,0,41.9047619,NA,3,NA,NA,2,4,NA,2,2,2,0,NA,334,199,0,NA,359.05,NA,456.1363636,42,NA,2,3,3,1,10,2,33.33333333333333,4.761904761904762,50,38.095238095238095,19.047619047619047,33.33333333333333,23.809523809523807,33.33333333333333,2,2,33.33333333333333,4426625000,57.98931843,89706.53305,3,3,0,0,1,1,3,8,0,0,0,76.33,2
Paso Robles Area,44.11764706,46.15384615,50,0,45.71428571,NA,2,NA,NA,1,1,NA,2,2,1,1,NA,82,102,219,NA,351.6785714,NA,437.0526316,11,NA,1,0,4,1,4,1,0,25,500,50,90.9090909090909,25,20,0,1,1,0,979009000,8.961874995,436155.9596,0,0,0,0,1,1,1,1,0,0,0,28.77,2
Cuyama Valley,50,46.15384615,100,2,53.33333333,NA,0,NA,NA,0,0,NA,2,2,2,2,NA,81,27,0,NA,418.2,NA,420.5,2,NA,2,1,1,1,6,2,100,9.090909090909092,50,9.090909090909092,50,18.181818181818183,9.090909090909092,100,2,2,100,1622026000,6.713035458,241729.9013,1,1,0,0,0,0,0,0,1,0,1,8.61,2
Oxnard,16.66666667,20.83333333,0,0,22.5,NA,0,NA,NA,0,0,NA,2,2,1,0,NA,31,158,0,NA,499.5,NA,724.1666667,25,NA,0,1,1,1,14,2,100,NA,NA,20,4,0,0,0,1,NA,0,1998387000,37.48257029,57887.8954,0,0,0,0,0,0,0,0,0,0,0,39.61,2
Pleasant Valley,17.64705882,23.07692308,0,0,21.07142857,NA,0,NA,NA,0,0,NA,2,2,1,0,NA,10,30,0,NA,443.7777778,NA,1157.555556,3,NA,0,0,1,1,14,2,100,NA,NA,20,33.33333333333333,0,0,0,1,NA,0,1998387000,33.21742112,19839.95871,0,0,0,0,0,0,1,0,0,0,0,20.32,2
Las Posas,20.58823529,26.92307692,0,0,24.64285714,NA,0,NA,NA,0,0,NA,2,2,1,0,NA,NA,43,0,NA,NA,NA,1110.375,10,NA,0,0,1,1,14,2,100,NA,NA,20,10,0,0,0,1,NA,0,1998387000,41.66446884,44621.98574,0,0,0,0,0,0,0,0,0,0,0,17.87,1
Yuba,38.23529412,50,0,0,31.54761905,NA,0,NA,NA,0,0,NA,1,0,2,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,4,4,3,1,3,1,0,29.411764705882355,125,29.411764705882355,NA,11.76470588235294,11.76470588235294,0,1,1,0,231990000,42.26349276,169858.4134,0,0,0,0,1,1,0,0,1,0,1,63.78,1
Eastern San Joaquin,50,53.84615385,50,2,56.54761905,NA,0,0.3756234413965087,9.401709402,0,0,28.57142857,2,2,2,2,3208,7444,1196,30,148.2182841,255.5220679,117,374.0625,106,28,13,12,16,1,22,2,12.5,12.371134020618557,92.3076923076923,43.29896907216495,39.62264150943396,17.525773195876287,15.463917525773196,0,1,1,0,2638145000,44.27668795,764802.8091,0,0,0,0,1,1,2,0,0,0,0,47.96,2
Merced,64.70588235,61.53846154,100,2,62.02380952,NA,0,0.8310933527061387,52.11267606,0,0,71.42857143,2,2,1,1,2753,3010,319,45,125.8066715,219.9658613,71,249.4444444,65,14,10,11,3,1,16,2,66.66666666666666,27.77777777777778,50,33.33333333333333,9.230769230769232,11.11111111111111,38.88888888888889,0,2,2,0,3270959000,37.80823166,512959.3226,6,0,3,3,1,1,4,0,1,1,1,41.87,2
